iter	Passed	Remaining
401	15179	22579
402	15216	22541
403	15251	22500
404	15289	22461
405	15324	22419
406	15377	22405
407	15415	22367
408	15452	22328
409	15487	22286
410	15525	22249
411	15563	22212
412	15601	22175
413	15642	22141
414	15680	22103
415	15716	22063
416	15754	22026
417	15797	21996
418	15832	21953
419	15869	21914
420	15905	21874
421	15942	21835
422	15980	21798
423	16018	21761
424	16055	21721
425	16092	21683
426	16128	21643
427	16164	21602
428	16201	21564
429	16238	21525
430	16277	21489
431	16318	21456
432	16356	21418
433	16392	21378
434	16426	21336
435	16464	21298
436	16502	21260
437	16539	21222
438	16577	21184
439	16619	21152
440	16658	21115
441	16697	21079
442	16738	21045
443	16779	21012
444	16818	20976
445	16856	20938
446	16894	20900
447	16932	20862
448	16968	20822
449	17011	20791
450	17046	20751
451	17082	20710
452	17119	20671
453	17157	20634
454	17194	20595
455	17231	20556
456	17268	20517
457	17304	20478
458	17341	20439
459	17380	20402
460	17419	20366
461	17459	20331
462	17497	20294
463	17536	20257
464	17576	20222
465	17618	20189
466	17656	20152
467	17696	20116
468	17734	20078
469	17772	20041
470	17811	20004
471	17853	19971
472	17891	19933
473	17928	19894
474	17968	19859
475	18013	19829
476	18054	19796
477	18091	19756
478	18128	19717
479	18166	19680
480	18202	19640
481	18239	19601
482	18274	19561
483	18310	19521
484	18348	19483
485	18385	19445
486	18440	19424
487	18482	19391
488	18516	19349
489	18552	19310
490	18590	19272
491	18629	19235
492	18664	19194
493	18701	19156
494	18739	19118
495	18777	19079
496	18813	19040
497	18850	19002
498	18888	18963
499	18926	18926
500	18964	18888
501	19002	18851
502	19037	18810
503	19076	18773
504	19111	18733
505	19148	18694
506	19185	18655
507	19222	18617
508	19261	18580
509	19297	18541
510	19333	18501
511	19371	18463
512	19408	18424
513	19444	18385
514	19483	18348
515	19520	18309
516	19557	18271
517	19597	18235
518	19633	18195
519	19670	18157
520	19708	18119
521	19746	18081
522	19782	18042
523	19818	18003
524	19856	17965
525	19892	17925
526	19930	17888
527	19968	17850
528	20003	17810
529	20040	17771
530	20077	17733
531	20114	17694
532	20152	17656
533	20190	17619
534	20225	17579
535	20262	17541
536	20301	17504
537	20341	17467
538	20381	17431
539	20417	17392
540	20452	17352
541	20490	17314
542	20527	17276
543	20565	17238
544	20607	17204
545	20643	17165
546	20679	17125
547	20715	17086
548	20750	17046
549	20785	17006
550	20824	16969
551	20864	16933
552	20903	16896
553	20944	16861
554	20981	16823
555	21017	16783
556	21057	16747
557	21094	16709
558	21134	16672
559	21172	16635
560	21209	16596
561	21244	16557
562	21280	16517
563	21318	16480
564	21355	16442
565	21393	16403
566	21429	16365
567	21467	16327
568	21504	16289
569	21541	16250
570	21577	16211
571	21613	16172
572	21650	16133
573	21687	16095
574	21723	16056
575	21759	16017
576	21796	15979
577	21832	15939
578	21869	15901
579	21904	15861
580	21944	15825
581	21981	15787
582	22018	15748
583	22053	15709
584	22088	15669
585	22130	15634
586	22172	15600
587	22208	15560
588	22247	15524
589	22284	15485
590	22322	15448
591	22358	15409
592	22395	15371
593	22433	15333
594	22472	15296
595	22511	15259
596	22550	15222
597	22588	15184
598	22625	15146
599	22661	15107
600	22697	15068
601	22736	15032
602	22774	14994
603	22810	14955
604	22847	14917
605	22885	14879
606	22923	14841
607	22962	14804
608	23001	14767
609	23040	14730
610	23077	14692
611	23114	14654
612	23152	14616
613	23188	14577
614	23222	14537
615	23259	14499
616	23296	14461
617	23333	14423
618	23368	14383
619	23404	14344
620	23440	14305
621	23476	14266
622	23515	14230
623	23556	14194
624	23593	14156
625	23631	14118
626	23667	14079
627	23703	14041
628	23739	14002
629	23775	13963
630	23812	13924
631	23847	13886
632	23884	13847
633	23921	13809
634	23960	13772
635	23998	13735
636	24036	13697
637	24073	13658
638	24110	13621
639	24147	13582
640	24184	13544
641	24219	13505
642	24255	13467
643	24291	13428
644	24327	13389
645	24366	13352
646	24404	13314
647	24440	13276
648	24476	13237
649	24512	13198
650	24557	13164
651	24595	13127
652	24631	13089
653	24668	13050
654	24705	13012
655	24747	12977
656	24783	12938
657	24818	12899
658	24856	12862
659	24899	12826
660	24937	12789
661	24972	12750
662	25006	12710
663	25043	12672
664	25083	12636
665	25119	12597
666	25158	12560
667	25196	12522
668	25242	12489
669	25279	12451
670	25319	12414
671	25358	12377
672	25396	12339
673	25433	12301
674	25472	12264
675	25512	12227
676	25553	12191
677	25591	12153
678	25628	12115
679	25663	12077
680	25701	12039
681	25737	12000
682	25775	11962
683	25812	11925
684	25848	11886
685	25887	11849
686	25925	11811
687	25962	11773
688	25996	11734
689	26033	11696
690	26070	11658
691	26107	11620
692	26143	11581
693	26182	11544
694	26218	11506
695	26254	11467
696	26289	11428
697	26326	11390
698	26363	11352
699	26397	11313
700	26434	11275
701	26472	11237
702	26510	11200
703	26551	11163
704	26595	11128
705	26633	11091
706	26670	11053
707	26707	11014
708	26746	10977
709	26782	10939
710	26818	10900
711	26856	10863
712	26893	10825
713	26930	10787
714	26967	10749
715	27002	10710
716	27038	10672
717	27074	10633
718	27111	10595
719	27149	10557
720	27186	10520
721	27223	10482
722	27259	10443
723	27293	10404
724	27331	10367
725	27365	10328
726	27403	10290
727	27439	10252
728	27478	10214
729	27517	10177
730	27556	10140
731	27591	10101
732	27626	10063
733	27662	10024
734	27699	9986
735	27741	9950
736	27778	9912
737	27812	9873
738	27848	9835
739	27882	9796
740	27919	9758
741	27955	9720
742	27992	9682
743	28028	9644
744	28063	9605
745	28099	9567
746	28136	9529
747	28172	9491
748	28211	9454
749	28249	9416
750	28283	9377
751	28319	9339
752	28355	9301
753	28391	9263
754	28429	9225
755	28466	9187
756	28507	9150
757	28545	9113
758	28580	9074
759	28616	9036
760	28655	8999
761	28691	8961
762	28728	8923
763	28765	8885
764	28804	8848
765	28841	8810
766	28880	8773
767	28921	8736
768	28956	8698
769	28992	8659
770	29028	8621
771	29065	8584
772	29103	8546
773	29138	8508
774	29176	8470
775	29217	8434
776	29256	8396
777	29296	8359
778	29335	8322
779	29371	8284
780	29406	8245
781	29442	8207
782	29481	8170
783	29520	8133
784	29560	8096
785	29597	8058
786	29635	8020
787	29670	7982
788	29710	7945
789	29749	7908
790	29786	7870
791	29825	7832
792	29862	7795
793	29898	7757
794	29934	7718
795	29971	7681
796	30008	7643
797	30043	7605
798	30079	7566
799	30117	7529
800	30151	7490
801	30188	7453
802	30226	7415
803	30260	7376
804	30297	7339
805	30332	7300
806	30371	7263
807	30410	7226
808	30445	7187
809	30484	7150
810	30524	7113
811	30559	7075
812	30595	7037
813	30632	6999
814	30667	6961
815	30704	6923
816	30739	6885
817	30776	6847
818	30816	6810
819	30856	6773
820	30894	6735
821	30930	6697
822	30965	6659
823	31001	6621
824	31037	6583
825	31074	6545
826	31112	6508
827	31147	6470
828	31182	6432
829	31219	6394
830	31254	6356
831	31291	6318
832	31328	6280
833	31365	6242
834	31400	6204
835	31435	6166
836	31473	6129
837	31509	6091
838	31546	6053
839	31581	6015
840	31618	5977
841	31652	5939
842	31687	5901
843	31723	5863
844	31760	5825
845	31796	5788
846	31832	5750
847	31868	5712
848	31904	5674
849	31942	5636
850	31979	5599
851	32016	5561
852	32052	5523
